No. Resp,1. Menjadi marah karena hal-hal kecil/sepele ,6. Cenderung bereaksi berlebihan pada situasi ,8. Kesulitan untuk relaksasi/bersantai ,11. Mudah merasa kesal ,12. Merasa banyak menghabiskan energi karena cemas ,14. Tidak sabaran ,18. Ketakutan tanpa alasan yang jelas ,22. Tidak dapat menikmati hal-hal yang saya lakukan ,27. Kesulitan untuk tenang setelah sesuatu yang mengganggu ,29. Sulit untuk antusias pada banyak hal ,32. Merasa tidak berharga ,33. Tidak dapat memaklumi hal apapun yang menghalangi anda untuk menyelesaikan hal yang sedang Anda lakukan ,35. Tidak ada harapan untuk masa depan ,39. Anda Sering Gemetar (bukan karena penyakit fisik),Skor stress,Keterangan
1,1,1,1,1,2,2,3,1,3,1,1,2,1,1,21,Sedang
2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,Normal
3,3,3,3,3,3,3,3,3,3,3,0,2,0,3,35,Sangat Parah
4,1,1,2,1,2,2,0,0,1,1,1,2,0,0,14,Sedang
5,1,2,2,2,3,1,3,1,2,0,1,1,2,2,23,Sedang
6,0,0,1,0,1,1,2,1,0,0,1,0,0,0,7,Normal
7,1,2,1,2,0,1,0,2,1,1,1,1,2,0,15,Sedang
8,1,0,0,0,0,0,0,3,1,0,0,0,0,0,5,Normal
9,0,1,1,0,3,3,0,1,2,0,0,2,0,1,14,Sedang
10,1,1,0,1,2,0,1,2,1,0,0,1,0,0,10,Ringan
11,1,1,2,1,2,2,2,1,1,1,2,1,0,1,18,Sedang
12,2,2,2,2,3,2,3,3,3,2,3,2,2,1,32,Parah
13,1,1,0,1,0,2,0,0,0,1,1,0,2,0,9,Normal
14,0,1,1,0,2,1,1,1,2,3,2,1,1,0,16,Sedang
15,1,1,0,0,1,0,2,0,1,0,2,0,0,0,8,Normal
16,1,1,2,1,2,1,3,3,2,1,1,2,1,1,22,Sedang
17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,Normal
18,0,0,1,1,2,0,1,3,1,2,2,0,1,0,14,Sedang
19,0,0,0,1,1,1,1,0,1,0,2,0,0,1,8,Normal
20,1,1,1,2,2,1,0,1,1,1,2,1,0,0,14,Sedang
21,0,0,2,1,3,1,2,1,1,1,0,0,0,0,12,Ringan
22,1,1,0,2,3,2,1,0,2,1,0,0,0,0,13,Ringan
23,1,2,1,2,3,1,1,0,1,2,1,0,0,0,15,Sedang
24,1,1,1,1,3,3,3,1,1,1,1,1,1,0,19,Sedang
25,1,2,1,1,2,0,1,1,1,1,0,0,0,0,11,Ringan
26,1,1,2,2,3,1,3,2,3,1,2,1,2,1,25,Sedang
27,1,1,0,0,1,1,0,0,1,1,0,1,0,0,7,Normal
28,1,1,0,1,0,2,1,0,1,1,0,0,0,0,8,Normal
29,1,1,2,1,2,1,3,2,2,1,3,1,3,1,24,Sedang
30,1,2,2,2,3,2,2,3,2,2,2,3,3,2,31,Parah
31,2,2,1,1,3,3,1,1,1,1,1,1,0,0,18,Sedang
32,1,1,1,0,2,1,1,1,1,1,0,1,0,0,11,Ringan
33,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4,Normal
34,2,2,2,1,3,1,1,0,3,0,0,0,0,1,16,Sedang
35,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5,Normal
36,2,3,1,2,3,3,2,0,2,0,1,1,0,1,21,Sedang
37,2,2,1,2,3,1,3,0,1,0,0,1,0,3,19,Sedang
38,1,1,0,1,2,2,0,0,3,1,0,0,0,0,11,Ringan
39,1,1,1,1,2,0,2,1,2,1,1,1,0,0,14,Sedang
40,0,2,3,0,3,2,3,3,1,3,0,1,2,0,23,Sedang
41,1,0,2,1,1,0,0,0,1,0,0,1,0,0,7,Normal
42,1,1,2,0,3,1,3,3,3,3,3,3,0,2,28,Parah
43,1,2,2,2,3,2,2,2,2,2,3,0,2,1,26,Parah
44,1,1,0,1,2,1,0,1,1,1,1,1,1,1,13,Ringan
45,0,0,2,0,0,1,0,1,0,2,0,0,0,0,6,Normal
46,0,0,3,1,3,3,0,1,3,1,0,0,0,0,15,Sedang
47,1,1,2,1,2,1,3,1,3,1,2,2,1,0,21,Sedang
48,0,0,2,3,2,1,1,1,1,0,1,2,2,0,16,Sedang
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Normal
50,2,1,3,2,3,2,3,3,3,3,3,1,2,2,33,Parah
51,1,1,2,1,2,0,3,2,2,1,0,0,0,0,15,Sedang
52,1,1,1,3,3,1,2,1,1,3,0,1,0,0,18,Sedang
53,2,3,0,2,0,3,1,0,2,1,0,0,0,0,14,Sedang
54,1,1,3,2,3,2,3,2,3,2,2,1,2,1,28,Parah
55,1,1,0,0,1,1,1,2,1,1,1,1,1,0,12,Ringan
56,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,Normal
57,0,1,0,1,0,1,1,1,1,1,0,1,0,1,9,Normal
